x0000,y0000
1.687383967e+15,-7.02,
1.687384087e+15,-7.015,
1.687384207e+15,-7.013,
1.687384327e+15,-7.01,
1.687384447e+15,-7.02,
1.687384567e+15,-7.006,
1.687384687e+15,-6.98,
1.687384807e+15,-6.986,
1.687384927e+15,-7.001,
1.687385047e+15,-6.995,
1.687385167e+15,-6.993,
1.687385287e+15,-7.002,
1.687385407e+15,-6.999,
1.687385527e+15,-6.993,
1.687385647e+15,-7.015,
1.687385767e+15,-7.008,
1.687385887e+15,-7.018,
1.687386007e+15,-7.018,
1.687386127e+15,-7.018,
1.687386247e+15,-7.003,
1.687386367e+15,-6.996,
1.687386487e+15,-7.003,
1.687386607e+15,-7.019,
1.687386727e+15,-7.015,
1.687386847e+15,-7.018,
1.687386967e+15,-7.013,
1.687387087e+15,-7.019,
1.687387207e+15,-7.04,
1.687387327e+15,-7.052,
1.687387447e+15,-7.031,
1.687387567e+15,-7.017,
1.687387687e+15,-7.024,
1.687387807e+15,-7.025,
1.687387927e+15,-7.014,
1.687388047e+15,-7.024,
1.687388167e+15,-7.018,
1.687388287e+15,-7.021,
1.687388407e+15,-7.035,
1.687388527e+15,-7.055,
1.687388647e+15,-7.081,
1.687388767e+15,-7.05,
1.687388887e+15,-7.057,
1.687389007e+15,-7.058,
1.687389127e+15,-7.068,
1.687389247e+15,-7.091,
1.687389367e+15,-7.075,
1.687389487e+15,-7.057,
1.687389607e+15,-7.033,
1.687389726e+15,-7.041,
1.687389847e+15,-7.04,
1.687389967e+15,-7.041,
1.687390087e+15,-7.049,
1.687390207e+15,-7.056,
1.687390327e+15,-7.034,
1.687390447e+15,-7.014,
1.687390567e+15,-7.014,
1.687390686e+15,-7.028,
1.687390807e+15,-7.021,
1.687390927e+15,-7.031,
1.687391047e+15,-6.999,
1.687391167e+15,-6.994,
1.687391287e+15,-6.997,
1.687391407e+15,-7.001,
1.687391527e+15,-6.998,
1.687391647e+15,-7.006,
1.687391767e+15,-7.014,
1.687391887e+15,-7.009,
1.687392007e+15,-7.005,
1.687392127e+15,-7.011,
1.687392247e+15,-7.012,
1.687392367e+15,-7.029,
1.687392487e+15,-7.019,
1.687392607e+15,-7.011,
1.687392727e+15,-7.003,
1.687392847e+15,-7.014,
1.687392967e+15,-6.999,
1.687393087e+15,-7.012,
1.687393207e+15,-7.02,
1.687393327e+15,-7.019,
1.687393447e+15,-7.03,
1.687393567e+15,-7.015,
1.687393687e+15,-7.037,
1.687393806e+15,-7.032,
1.687393926e+15,-7.034,
1.687394046e+15,-7.049,
