x0000,y0000
1.687395487e+15,7.25,
1.687395607e+15,7.268,
1.687395727e+15,7.221,
1.687395847e+15,7.287,
1.687395967e+15,7.263,
1.687396087e+15,7.264,
1.687396207e+15,7.245,
1.687396327e+15,7.246,
1.687396447e+15,7.236,
1.687396567e+15,7.244,
1.687396687e+15,7.288,
1.687396807e+15,7.302,
1.687396927e+15,7.293,
1.687397047e+15,7.254,
1.687397167e+15,7.293,
1.687397287e+15,7.312,
1.687397406e+15,7.288,
1.687397527e+15,7.277,
1.687397647e+15,7.308,
1.687397767e+15,7.292,
1.687397887e+15,7.304,
1.687398007e+15,7.299,
1.687398127e+15,7.298,
1.687398247e+15,7.229,
1.687398367e+15,7.24,
1.687398487e+15,7.222,
1.687398607e+15,7.24,
1.687398727e+15,7.237,
1.687398847e+15,7.212,
1.687398967e+15,7.214,
1.687399087e+15,7.187,
1.687399206e+15,7.231,
1.687399327e+15,7.236,
1.687399447e+15,7.266,
1.687399567e+15,7.271,
1.687399687e+15,7.295,
1.687399807e+15,7.307,
1.687399927e+15,7.321,
1.687400047e+15,7.341,
1.687400167e+15,7.327,
1.687400287e+15,7.307,
1.687400407e+15,7.374,
1.687400527e+15,7.401,
1.687400647e+15,7.386,
1.687400767e+15,7.405,
1.687400887e+15,7.382,
1.687401007e+15,7.402,
1.687401127e+15,7.426,
1.687401247e+15,7.402,
1.687401367e+15,7.39,
1.687401487e+15,7.382,
1.687401607e+15,7.378,
1.687401727e+15,7.36,
1.687401847e+15,7.349,
1.687401967e+15,7.357,
1.687402087e+15,7.355,
1.687402207e+15,7.309,
1.687402327e+15,7.305,
1.687402447e+15,7.288,
1.687402567e+15,7.275,
1.687402687e+15,7.266,
1.687402807e+15,7.287,
1.687402927e+15,7.25,
1.687403047e+15,7.276,
1.687403167e+15,7.271,
1.687403287e+15,7.301,
1.687403407e+15,7.277,
1.687403527e+15,7.271,
1.687403647e+15,7.303,
1.687403767e+15,7.318,
1.687403887e+15,7.354,
1.687404007e+15,7.375,
1.687404127e+15,7.366,
1.687404247e+15,7.386,
1.687404366e+15,7.379,
1.687404487e+15,7.392,
1.687404607e+15,7.416,
1.687404727e+15,7.441,
1.687404847e+15,7.451,
1.687404966e+15,7.46,
1.687405087e+15,7.471,
1.687405207e+15,7.463,
1.687405327e+15,7.459,
1.687405447e+15,7.471,
1.687405567e+15,7.487,
1.687405687e+15,7.468,
1.687405807e+15,7.483,
1.687405927e+15,7.529,
1.687406047e+15,7.495,
1.687406167e+15,7.521,
1.687406287e+15,7.506,
1.687406407e+15,7.527,
1.687406527e+15,7.533,
1.687406647e+15,7.547,
1.687406767e+15,7.539,
1.687406887e+15,7.571,
1.687407007e+15,7.573,
1.687407127e+15,7.551,
1.687407247e+15,7.575,
1.687407367e+15,7.548,
1.687407487e+15,7.561,
1.687407607e+15,7.569,
1.687407727e+15,7.567,
1.687407847e+15,7.559,
1.687407967e+15,7.556,
1.687408087e+15,7.555,
1.687408207e+15,7.535,
1.687408327e+15,7.542,
1.687408447e+15,7.507,
1.687408567e+15,7.515,
1.687408687e+15,7.496,
1.687408807e+15,7.483,
1.687408927e+15,7.453,
1.687409047e+15,7.458,
1.687409167e+15,7.449,
1.687409287e+15,7.431,
1.687409407e+15,7.422,
1.687409527e+15,7.426,
1.687409647e+15,7.402,
1.687409767e+15,7.419,
1.687409887e+15,7.401,
1.687410007e+15,7.397,
