x0000,y0000
1.687395487e+15,6.22,
1.687395607e+15,6.237,
1.687395727e+15,6.248,
1.687395847e+15,6.267,
1.687395967e+15,6.268,
1.687396087e+15,6.275,
1.687396207e+15,6.284,
1.687396327e+15,6.295,
1.687396447e+15,6.301,
1.687396567e+15,6.307,
1.687396687e+15,6.334,
1.687396807e+15,6.334,
1.687396927e+15,6.339,
1.687397047e+15,6.353,
1.687397167e+15,6.359,
1.687397287e+15,6.393,
1.687397406e+15,6.381,
1.687397527e+15,6.405,
1.687397647e+15,6.468,
1.687397767e+15,6.397,
1.687397887e+15,6.405,
1.687398007e+15,6.413,
1.687398127e+15,6.398,
1.687398247e+15,6.373,
1.687398367e+15,6.374,
1.687398487e+15,6.378,
1.687398607e+15,6.414,
1.687398727e+15,6.413,
1.687398847e+15,6.457,
1.687398967e+15,6.477,
1.687399087e+15,6.513,
1.687399206e+15,6.526,
1.687399327e+15,6.534,
1.687399447e+15,6.547,
1.687399567e+15,6.557,
1.687399687e+15,6.58,
1.687399807e+15,6.61,
1.687399927e+15,6.629,
1.687400047e+15,6.642,
1.687400167e+15,6.669,
1.687400287e+15,6.699,
1.687400407e+15,6.786,
1.687400527e+15,6.68,
1.687400647e+15,6.722,
1.687400767e+15,6.697,
1.687400887e+15,6.679,
1.687401007e+15,6.707,
1.687401127e+15,6.69,
1.687401247e+15,6.698,
1.687401367e+15,6.694,
1.687401487e+15,6.691,
1.687401607e+15,6.696,
1.687401727e+15,6.789,
1.687401847e+15,6.697,
1.687401967e+15,6.724,
1.687402087e+15,6.707,
1.687402207e+15,6.699,
1.687402327e+15,6.687,
1.687402447e+15,6.674,
1.687402567e+15,6.657,
1.687402687e+15,6.696,
1.687402807e+15,6.815,
1.687402927e+15,6.829,
1.687403047e+15,6.793,
1.687403167e+15,6.808,
1.687403287e+15,6.807,
1.687403407e+15,6.814,
1.687403527e+15,6.813,
1.687403647e+15,6.822,
1.687403767e+15,6.861,
1.687403887e+15,6.861,
1.687404007e+15,6.875,
1.687404127e+15,6.899,
1.687404247e+15,6.902,
1.687404366e+15,6.926,
1.687404487e+15,6.935,
1.687404607e+15,6.97,
1.687404727e+15,6.983,
1.687404847e+15,6.985,
1.687404966e+15,7.008,
1.687405087e+15,7.002,
1.687405207e+15,7.008,
1.687405327e+15,7.024,
1.687405447e+15,7.042,
1.687405567e+15,7.067,
1.687405687e+15,7.066,
1.687405807e+15,7.055,
1.687405927e+15,7.063,
1.687406047e+15,7.086,
1.687406167e+15,7.09,
1.687406287e+15,7.088,
1.687406407e+15,7.091,
1.687406527e+15,7.084,
1.687406647e+15,7.111,
1.687406767e+15,7.106,
1.687406887e+15,7.109,
1.687407007e+15,7.103,
1.687407127e+15,7.109,
1.687407247e+15,7.158,
1.687407367e+15,7.1,
1.687407487e+15,7.132,
1.687407607e+15,7.132,
1.687407727e+15,7.124,
